Designator,Mid X,Mid Y,Rotation,Layer
10K1,174.075,-54.75,180.0,top
10K2,178.0,-78.0375,270.0,top
10K3,165.925,-92.75,180.0,top
1K1,174.075,-53.0,180.0,top
1UF1,186.475,-70.75,0.0,top
1UF2,190.075,-70.73,180.0,top
1UF3,186.4,-84.625,90.0,top
1UF4,173.175,-66.75,180.0,top
1UF5,165.925,-94.25,0.0,top
1UF6,163.0,-93.425,270.0,top
27PF1,184.5,-67.475,270.0,top
27PF2,192.25,-67.475,90.0,top
4.7K1,223.25,-83.675,270.0,top
4.7K2,223.25,-87.175,90.0,top
D1,202.985,-78.35,180.0,top
D10,208.385,-74.35,180.0,top
D11,213.585,-74.35,180.0,top
D12,218.785,-90.35,180.0,top
D13,213.585,-78.35,180.0,top
D14,218.785,-86.35,180.0,top
D15,213.585,-82.35,180.0,top
D16,218.585,-82.35,180.0,top
D17,213.585,-86.35,180.0,top
D18,218.785,-78.35,180.0,top
D19,213.585,-90.35,180.0,top
D2,202.985,-82.35,180.0,top
D20,218.785,-74.35,180.0,top
D22,197.585,-90.35,180.0,top
D24,197.585,-86.35,180.0,top
D26,180.25,-78.0,90.0,top
D27,197.585,-82.35,180.0,top
D29,197.585,-78.35,180.0,top
D3,202.985,-74.35,180.0,top
D31,197.755,-74.35,180.0,top
D4,202.985,-86.35,180.0,top
D5,202.985,-90.35,180.0,top
D6,208.385,-90.35,180.0,top
D7,208.385,-86.35,180.0,top
D8,208.385,-82.35,180.0,top
D9,208.385,-78.35,180.0,top
J1,165.8,-60.07,270.0,top
J2,218.51,-97.69,90.0,top
J3,191.85,-49.46,270.0,top
J4,198.24,-97.69,90.0,top
J5,215.83,-49.5,270.0,top
J6,227.0,-83.63,0.0,top
R1,172.75,-60.325,90.0,top
R2,172.75,-57.175,90.0,top
SW1,165.0,-51.0,270.0,top
SW2,169.8,-50.95,270.0,top
U1,186.8,-78.5,270.0,top
U2,186.6625,-89.105,90.0,top
U3,173.8875,-63.95,180.0,top
U5,168.29,-81.36,90.0,top
Y1,188.4,-67.4,180.0,top
